publish_date,positive,negative,neutral,compound,country,language
2019-03-18,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0.426,0.574,-0.6369,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-20,0,0.223,0.777,-0.3182,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-20,0.362,0,0.638,0.5267,Zimbabwe,ENG
2019-03-20,0.176,0.258,0.566,-0.3182,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-15,0,0,1,0,Zimbabwe,ENG
2019-03-15,0,0,1,0,Zimbabwe,ENG
2019-03-20,0,0.439,0.561,-0.5719,Zimbabwe,ENG
2019-03-20,0,0.286,0.714,-0.4939,Zimbabwe,ENG
2019-03-15,0.383,0,0.617,0.4767,Zimbabwe,ENG
2019-03-20,0.155,0,0.845,0.0258,Zimbabwe,ENG
2019-03-20,0,0.315,0.685,-0.3182,Zimbabwe,ENG
2019-03-20,0,0.306,0.694,-0.296,Zimbabwe,ENG
2019-03-20,0,0.526,0.474,-0.83,Zimbabwe,ENG
2019-03-20,0,0.204,0.796,-0.3182,Zimbabwe,ENG
2019-03-20,0,0.286,0.714,-0.4939,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-20,0.162,0,0.838,0.4767,Zimbabwe,ENG
2019-03-20,0,0.211,0.789,-0.4939,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-20,0,0.14,0.86,-0.0772,Zimbabwe,ENG
2019-03-20,0.201,0.128,0.67,0.3182,Zimbabwe,ENG
2019-03-20,0.253,0.084,0.663,0.5859,Zimbabwe,ENG
2019-03-20,0,0.439,0.561,-0.5719,Zimbabwe,ENG
2019-03-21,0.597,0,0.403,0.836,Zimbabwe,ENG
2019-03-21,0,0,1,0,Zimbabwe,ENG
2019-03-20,0.597,0,0.403,0.836,Zimbabwe,ENG
2019-03-20,0,0.167,0.833,-0.1531,Zimbabwe,ENG
2019-03-20,0.236,0.264,0.5,-0.1027,Zimbabwe,ENG
2019-03-20,0,0.247,0.753,-0.3182,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
